commit,tempo
d31ff2fed352cc15d808cb8aa91eba6576ed13ae,2.1596319675445557
899f5aa41769c6b6265c95bd63517b35e760f1fa,2.305304527282715
ec9d809ddd2ed6930d1bf970999b152c5debdaa4,2.3633170127868652
b14a7a36e47934375c768d3d317403b01a6982ea,2.314938545227051
16c395e32c54fe38d05b88237c376d105c45231a,2.333127021789551
b9c18a7b4c6d194645a20312352cd4d4994eafb4,2.495809316635132
e7b2df21a92939e9f01ce0f9afd6112aafc1cfba,2.2309272289276123
2efa70955299ff7bb5d5bc9a5d12c218f922ab03,2.5634677410125732
f440a54026a53dd9adc957b572019956b7e41f65,2.2189323902130127
b401cf1fbafe50b67d1ed4aebef5bf2909e662e3,2.3767459392547607
6e91651a574fbc38eae152c8f7dc3c0c7d42fb7b,2.2514312267303467
7fdd27f7bd83a8323e07df304bb4722116d852ff,2.287968158721924
27f1fd142499654c26302bf260a6cd534dd16047,2.436757802963257
511a533d15c070ac4c0f9a510dd78f0619581b77,3.198798418045044
e7466435664b7d15252b00adc6381e0d20a122af,2.330977439880371
027931a8a123cb866279ba98609137816a41d40a,2.230463981628418
3376cf01580ecd9cd099b5513874c8bed2490839,2.5275254249572754
5ecbbefb6d83fbc4c8919b94b33f491fa0e0055f,2.3859689235687256
afe17a4bda72dc722e505967efc88ef449c0fd75,2.4429843425750732
c98ca86b7d08f75244de0b1f209f13abd80a2002,2.3756613731384277
d8b29df3558724090efaf18326937075c25ba7f3,2.4151532649993896
f373cd5c5ea9e6e9c619d9913b1a9bc66001a1b8,2.301981210708618
3f48eff1ee39e772bd0c1c097ff99fb62786e69f,2.3770172595977783
41fc8a10bb8eb0e7b106e25eb643481376ac1829,2.3118371963500977
432c63d9851cadb7e93a110a9a22716b0e033d87,2.340674877166748
fa6c9ba35de4ec98f5487f296bab7ee1b7fb2da5,2.2518908977508545
9447289c87522d96d54228e817c5aa3cd04744c6,2.357017993927002
c757e65431ad1aec9a3bebe81ac919577e51ac58,2.234715223312378
24df43fa448efae530da9ed8d816a1ba3541bbcb,2.332871675491333
fdda9ca65689423794a8378c1f28faca7dffddf0,2.4993786811828613
8b8231108fb5930bab5c7e2f20685c9a9d237749,2.324489116668701
f1b513cf91663498aa1677580776a7c42c7322f2,2.2742016315460205
91bbae3c35230734fd2cf6926a7ac1239119fc6e,2.2508304119110107
a1e709ddf0ca48b25ad07ee13a2fbdb0a6d97c0e,2.4289698600769043
af67ae868e0d150e4d73e48a301c831bc2732b0c,2.308159112930298
7b175fc2bc63433c132fe19b5e3ce4b67938437f,2.361970901489258
6d95e3680c8edf49c2353633dd9c1a7072440989,2.395455837249756
daacb02057cd702900f986a0a6867730ece13014,2.5461645126342773
88feabb4296d6483bdb5c85fed489e5014161ca5,2.9218661785125732
be5cd4fd169005f50eea8ccefac4b91a9b4c503c,2.528712272644043
5e4b7bcc36fbfff4c2cdeeea68390186ff9e6bb4,2.379565715789795
f8ac5cada7dee692a74e7a17b32bb64afe717314,2.268763780593872
950c1a3c326cc706345fde50f2ba0d20a56acf4a,2.247469425201416
7bf6c5ca6e09ce2add22e0685db63da658b5fe17,2.568366289138794
302140b2c69442e81f7b0b2af9d6e39277ac5674,2.244065046310425
58484bb80ca0d6bca745d9962c79b06c536f3266,2.477799654006958
01479e2bbc2176706741949284cbae6816d0fe9b,2.2504913806915283
972d8bad229a4be6d98c8fcaad6880e1351af3ee,2.324954032897949
1c578ab5542bd20904c4a5e4ebcc80b42af31bbb,2.216092348098755
430376edd36af694c8485c1782e82537a3fb628a,2.4067037105560303
934e9d336b7fb1fb41506fdd525ac98acbf91240,2.6193196773529053
06b92a49bf80debd4d9f2d334049d790d46c6081,2.4873275756835938
fe9f676028773df181f0b9ec823b3cdd08d5cf3d,2.290626049041748
c49420e622facb8cc98e5f4447c0fc8ad6660990,2.2719998359680176
e429b6979b5d736bbbb1168a743c9e32801e2a9b,2.3429489135742188
8dbee911c39343c3085a4f56f6e597719ba0c0ca,2.297201156616211
010866ba90fb7af074c5c447c1bd5143f60c00e2,2.310715675354004
04c87d8d99668125b2794b9d78047011de6c52ca,2.2839388847351074
761c437983ad2b08399efa5e69e848764fcff4de,2.2399275302886963
d3575548bbd39acdbc0f73533f9078d59828b428,2.6997554302215576
f66e19c072a24afb6f083db9fc0124f58b9742e6,2.3032565116882324
890001ba9522f2eb94c152597f4cd20122d535b1,2.259199857711792
6c4e65f576ea6fa43b06e6d677f40410a87fefc1,2.3349180221557617
ced5c443231d6c41f89f6c5fdb99b433725ff4db,2.2231063842773438
fd31a5d85c0a1fd4a310ced04bb3b714469b2d43,2.4756619930267334
16509dc22c7129f64c6c2668779b71de819912cf,2.2808570861816406
a0d351685c50b97e658ded58c70da931ddf225d3,2.289167642593384
85e9e126773c0bb20a8529a2e6591dde17d7e209,2.3511312007904053
c6190cb707227255e956cdaaa22da8e311e847e9,2.250715732574463
1b3eb0b9e7a3ee35d6c40d5e4460f4bb1f17e0e9,2.219536066055298
00292ff44c38a4d6c1423020f13f97e48efd7bad,2.528116464614868
0879051bdfe25a3f60e1cb7cc9546d905f82f637,2.3068363666534424
c733b24be79d4c6b12110107fda832bce2e6f08d,2.226255178451538
20bd4e304976dc64fa6abc165823425ba524ccb2,2.5960018634796143
bfa648152f266540536e76f7b3ebcb1598ad5f6f,2.399427890777588
